"Status","Year","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","137165","123795","22920","21380"
"In post","2022","EO","131270","122005","27990","27570"
"In post","2022","G6/G7","69450","67055","59110","57190"
"In post","2022","SCS level","7220","7000","90760","82550"
"In post","2022","SEO/HEO","141525","136270","37180","36410"
"In post","2022","Unknown","23450","21970","31610","28880"
"Leaver CS","2022","AA/AO","17405","[c]","21750","21260"
"Leaver CS","2022","EO","10590","[c]","27740","27570"
"Leaver CS","2022","G6/G7","4300","[c]","60120","57650"
"Leaver CS","2022","SCS level","710","[c]","98430","93740"
"Leaver CS","2022","SEO/HEO","8885","[c]","37470","36700"
"Leaver CS","2022","Unknown","2325","[c]","36730","33500"
"Leaver Dept.","2022","AA/AO","3345","[c]","21490","21260"
"Leaver Dept.","2022","EO","5250","[c]","27060","27570"
"Leaver Dept.","2022","G6/G7","4795","[c]","58000","54800"
"Leaver Dept.","2022","SCS level","865","[c]","98410","95140"
"Leaver Dept.","2022","SEO/HEO","9065","[c]","35780","35060"
"Leaver Dept.","2022","Unknown","340","[c]","38870","36590"
"New entrant CS","2022","AA/AO","24130","[c]","22040","21260"
"New entrant CS","2022","EO","16225","[c]","27120","27230"
"New entrant CS","2022","G6/G7","4555","[c]","56780","54110"
"New entrant CS","2022","SCS level","370","[c]","97640","88000"
"New entrant CS","2022","SEO/HEO","14860","[c]","34980","33370"
"New entrant CS","2022","Unknown","9255","[c]","28610","26310"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
